epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5132.21,1.61953,1.76099,1.50039,0.60214,0.53552,0.56419,0.2956,1.70237,1.7531,1.54543,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5540.35,1.61445,1.74661,1.49397,0.60873,0.53628,0.56562,0.29864,1.69925,1.74797,1.54203,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5948.8,1.60875,1.74159,1.49045,0.6076,0.54123,0.56943,0.3003,1.70274,1.7405,1.54233,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6355.55,1.60066,1.722,1.48237,0.60785,0.54121,0.56933,0.30155,1.70425,1.73494,1.53924,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6762.28,1.59446,1.71125,1.47679,0.60698,0.5469,0.57157,0.3026,1.70351,1.72803,1.53697,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,7130.07,1.60162,1.7158,1.4829,0.60836,0.55131,0.5719,0.30316,1.7017,1.72486,1.53538,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,7498.62,1.60322,1.71025,1.47868,0.60547,0.55093,0.57293,0.3048,1.70137,1.72152,1.53463,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7878.8,1.59166,1.69233,1.47313,0.61079,0.55156,0.57464,0.30571,1.69966,1.71832,1.53332,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,8255.81,1.58587,1.68098,1.47229,0.61412,0.55054,0.5759,0.30652,1.69821,1.7162,1.53339,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,512.594,1.59404,1.6073,1.51675,0.61273,0.55347,0.57671,0.30684,1.69818,1.71317,1.53357,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,845.374,1.58551,1.58813,1.51269,0.61418,0.55115,0.57769,0.30782,1.69706,1.70923,1.53271,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,1176.88,1.57291,1.56086,1.50566,0.61189,0.5523,0.5788,0.30952,1.69747,1.70606,1.53272,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,1507.88,1.56591,1.54567,1.49819,0.6164,0.54975,0.57923,0.31054,1.69676,1.70208,1.53259,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,1838.4,1.55467,1.52383,1.49216,0.61914,0.54874,0.58033,0.31099,1.69668,1.69889,1.5325,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,2163.81,1.54206,1.50146,1.48096,0.61934,0.54842,0.58121,0.31163,1.69644,1.69724,1.53245,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,426.476,1.53778,1.59606,1.44295,0.61952,0.54828,0.58141,0.31174,1.69656,1.69689,1.53268,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,825.085,1.52292,1.57725,1.43095,0.62079,0.54779,0.58187,0.31174,1.69735,1.69654,1.53294,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,1198.8,1.51771,1.56766,1.42858,0.62224,0.54719,0.58236,0.31183,1.69745,1.69658,1.53292,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,1582.99,1.51468,1.55142,1.42775,0.6218,0.54791,0.58192,0.31208,1.69834,1.69636,1.53362,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
