Video Name,Track ID,Class Name,Max Confidence,Timestamp (s),Saved Image Path
video,1,alligator crack,0.57,0.20,C:\Users\WestM\Desktop\CSE491-SD-SmartTrashBin\backend\uploads\anomaly_sessions\driver_8\road-1778176800971\analysis\extracted_anomalies\alligator_crack\video_alligator_crack_id_1.jpg
video,3,alligator crack,0.65,1.07,C:\Users\WestM\Desktop\CSE491-SD-SmartTrashBin\backend\uploads\anomaly_sessions\driver_8\road-1778176800971\analysis\extracted_anomalies\alligator_crack\video_alligator_crack_id_3.jpg
video,6,other corruption,0.69,2.53,C:\Users\WestM\Desktop\CSE491-SD-SmartTrashBin\backend\uploads\anomaly_sessions\driver_8\road-1778176800971\analysis\extracted_anomalies\other_corruption\video_other_corruption_id_6.jpg
