Video Name,Track ID,Class Name,Max Confidence,Timestamp (s),Saved Image Path
video,1,longitudinal crack,0.69,0.10,C:\Users\WestM\Desktop\CSE491-SD-SmartTrashBin\backend\uploads\anomaly_sessions\driver_8\road-1778176854484\analysis\extracted_anomalies\longitudinal_crack\video_longitudinal_crack_id_1.jpg
video,2,longitudinal crack,0.70,1.87,C:\Users\WestM\Desktop\CSE491-SD-SmartTrashBin\backend\uploads\anomaly_sessions\driver_8\road-1778176854484\analysis\extracted_anomalies\longitudinal_crack\video_longitudinal_crack_id_2.jpg
