Video Name,Track ID,Class Name,Max Confidence,Timestamp (s),Saved Image Path
video,1,transverse crack,0.52,0.17,C:\Users\WestM\Desktop\CSE491-SD-SmartTrashBin\backend\uploads\anomaly_sessions\driver_8\road-1778176784480\analysis\extracted_anomalies\transverse_crack\video_transverse_crack_id_1.jpg
video,4,other corruption,0.81,11.16,C:\Users\WestM\Desktop\CSE491-SD-SmartTrashBin\backend\uploads\anomaly_sessions\driver_8\road-1778176784480\analysis\extracted_anomalies\other_corruption\video_other_corruption_id_4.jpg
video,6,transverse crack,0.72,5.10,C:\Users\WestM\Desktop\CSE491-SD-SmartTrashBin\backend\uploads\anomaly_sessions\driver_8\road-1778176784480\analysis\extracted_anomalies\transverse_crack\video_transverse_crack_id_6.jpg
video,7,transverse crack,0.68,5.50,C:\Users\WestM\Desktop\CSE491-SD-SmartTrashBin\backend\uploads\anomaly_sessions\driver_8\road-1778176784480\analysis\extracted_anomalies\transverse_crack\video_transverse_crack_id_7.jpg
video,8,other corruption,0.74,7.96,C:\Users\WestM\Desktop\CSE491-SD-SmartTrashBin\backend\uploads\anomaly_sessions\driver_8\road-1778176784480\analysis\extracted_anomalies\other_corruption\video_other_corruption_id_8.jpg
