epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,409.577,2.02726,3.77861,1.76608,0.31476,0.28984,0.22696,0.09817,2.02139,2.71098,1.72425,0.00997619,0.0033254,0.00997619,0.0033254,0.00997619,0.0033254,0.00997619,0.0033254
2,802.113,1.96161,2.78294,1.68208,0.27752,0.22887,0.17366,0.07012,2.23315,2.9424,1.85429,0.0195807,0.00652689,0.0195807,0.00652689,0.0195807,0.00652689,0.0195807,0.00652689
3,1201.13,2.07366,2.6669,1.78419,0.12386,0.15594,0.05734,0.02095,2.58716,4.46469,2.52188,0.0287891,0.00959638,0.0287891,0.00959638,0.0287891,0.00959638,0.0287891,0.00959638
4,1598.9,2.06528,2.58906,1.80897,0.30604,0.26611,0.20568,0.0869,2.12534,2.85816,1.85008,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1996.67,1.97693,2.41022,1.73958,0.31506,0.28906,0.22062,0.09452,2.11254,2.97921,1.90693,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2390.08,1.91448,2.30565,1.68951,0.35568,0.31017,0.25684,0.11401,2.08012,2.89807,1.7847,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2786.61,1.87749,2.21848,1.65924,0.39662,0.34502,0.31256,0.14389,1.97605,2.46778,1.72729,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3182.24,1.85376,2.16833,1.64135,0.4365,0.38453,0.34771,0.16333,1.94678,2.24837,1.70323,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3577.33,1.82905,2.11557,1.62424,0.45917,0.41314,0.38754,0.18303,1.87844,2.16509,1.66361,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3972.08,1.8089,2.07398,1.61164,0.45342,0.38498,0.37292,0.17877,1.88374,2.21902,1.6509,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4365.32,1.78961,2.03809,1.59213,0.50713,0.40754,0.40795,0.19887,1.86544,2.138,1.61248,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4760.4,1.77797,2.00916,1.57845,0.50645,0.43382,0.43353,0.21387,1.83347,2.04326,1.61314,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5152.07,1.76358,1.97545,1.56461,0.53,0.44567,0.45753,0.22825,1.8094,1.96339,1.56892,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5542.83,1.75385,1.95567,1.55452,0.50761,0.4585,0.45411,0.22659,1.79911,1.98643,1.57722,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5935.19,1.74724,1.93615,1.54867,0.55325,0.46222,0.47712,0.23804,1.79171,1.92624,1.56003,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6327.16,1.73551,1.90079,1.54091,0.53663,0.479,0.48336,0.24709,1.76119,1.90441,1.5538,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6719.68,1.72044,1.88726,1.5329,0.54993,0.4755,0.49185,0.24931,1.76188,1.89328,1.54059,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,7112.86,1.71504,1.87309,1.51932,0.54866,0.48653,0.49844,0.25646,1.75144,1.83622,1.51504,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7505.9,1.70641,1.85527,1.50998,0.56294,0.48357,0.50832,0.26427,1.73445,1.81244,1.51863,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,7897.53,1.69312,1.83311,1.50939,0.57433,0.4895,0.51747,0.2694,1.73028,1.79758,1.51688,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,8287.97,1.68663,1.81987,1.50391,0.5852,0.49509,0.52171,0.2729,1.71606,1.78273,1.51296,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8681.25,1.68376,1.8075,1.50126,0.58241,0.50838,0.52671,0.276,1.72439,1.7717,1.50818,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,9075.97,1.68091,1.78976,1.49735,0.58077,0.51392,0.53613,0.2815,1.6979,1.749,1.49198,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,9467.87,1.66819,1.76593,1.48434,0.58253,0.51138,0.53826,0.2839,1.69998,1.73548,1.48708,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,9860.75,1.65703,1.74804,1.47697,0.59177,0.51916,0.54522,0.28797,1.69722,1.71679,1.48229,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,10250.3,1.65374,1.73839,1.47368,0.58353,0.52332,0.54364,0.28632,1.69501,1.71891,1.47668,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,10640.8,1.64481,1.72581,1.46967,0.59434,0.52928,0.54916,0.2906,1.69634,1.7147,1.47844,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,11033,1.64002,1.72293,1.46482,0.60149,0.5299,0.55613,0.29433,1.68893,1.70851,1.47633,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,11422.8,1.64154,1.70734,1.46275,0.60524,0.5306,0.55863,0.29801,1.6853,1.69422,1.47271,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,11813,1.62926,1.68902,1.45437,0.61222,0.53465,0.56204,0.30152,1.68569,1.68677,1.47061,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,12203.4,1.61804,1.66964,1.44781,0.60445,0.54076,0.56389,0.30194,1.68386,1.68407,1.4689,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,12593.7,1.61267,1.66601,1.44467,0.6111,0.53512,0.56632,0.30416,1.6812,1.67851,1.46511,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,12985.9,1.60526,1.63971,1.43177,0.61004,0.53777,0.56856,0.30412,1.67802,1.67352,1.46136,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,13379.2,1.60299,1.6343,1.43331,0.61566,0.54176,0.57172,0.30556,1.67518,1.66856,1.45915,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,13770.1,1.59475,1.61569,1.42742,0.61861,0.53929,0.57333,0.30659,1.67454,1.66361,1.45814,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,14159.1,1.58935,1.59917,1.42376,0.62542,0.53809,0.57441,0.30737,1.67499,1.65909,1.4571,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,14548.2,1.58409,1.60074,1.42069,0.6219,0.54026,0.57569,0.3082,1.67391,1.65611,1.45716,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,14934.7,1.57777,1.59306,1.41712,0.6267,0.53838,0.57757,0.30911,1.67269,1.65524,1.4572,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,15323.5,1.56785,1.57213,1.41056,0.6236,0.54063,0.57873,0.30969,1.67322,1.65339,1.4578,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,15714.5,1.56611,1.56136,1.40369,0.62438,0.54237,0.57988,0.30996,1.67322,1.6524,1.45727,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,16085.4,1.55864,1.49035,1.44261,0.61991,0.54546,0.58085,0.31087,1.67309,1.65114,1.45664,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,16445.2,1.54705,1.45561,1.4328,0.61477,0.54928,0.58193,0.31181,1.67244,1.64671,1.45661,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,16804.9,1.5381,1.43691,1.42689,0.61385,0.55224,0.58249,0.3127,1.67223,1.64365,1.45578,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,17167.1,1.52283,1.41833,1.41928,0.62074,0.55004,0.58327,0.31329,1.6715,1.64141,1.45537,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,17538.5,1.51515,1.39214,1.41565,0.62237,0.54884,0.58389,0.31376,1.6712,1.63921,1.45527,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,17907,1.50315,1.36923,1.40569,0.62356,0.54969,0.58467,0.31382,1.67108,1.6383,1.45524,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,18271.8,1.49327,1.35681,1.39906,0.62008,0.55383,0.58491,0.31448,1.67156,1.63651,1.45512,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,18640.4,1.48628,1.34037,1.39335,0.61824,0.55491,0.58525,0.31505,1.67206,1.63489,1.45532,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,19007.5,1.47735,1.32831,1.38948,0.61883,0.55535,0.58586,0.31527,1.67302,1.63362,1.45567,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,19372.9,1.46688,1.31361,1.38599,0.61846,0.55606,0.58638,0.3153,1.67306,1.63258,1.45567,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
